train/learning_rate,time/total_timesteps,train/n_updates,train/std,time/iterations,train/entropy_loss,train/policy_loss,train/explained_variance,train/value_loss,time/time_elapsed,time/fps,train/reward
0.0007,500,99,1.0022133588790894,100,-12.79233455657959,-30.509450912475586,-0.05943334102630615,4.68825626373291,2,234,0.24581912
0.0007,1000,199,1.002377986907959,200,-12.79178524017334,7.2529778480529785,0.15458667278289795,0.9634420275688171,4,239,0.5677232
0.0007,1500,299,1.0003838539123535,300,-12.77120590209961,-14.640874862670898,0.0,3.0052521228790283,6,233,-2.5477097
0.0007,2000,399,0.9983129501342773,400,-12.755176544189453,10.697061538696289,0.0,2.37850284576416,9,216,0.07760653
0.0007,2500,499,0.9958087205886841,500,-12.725455284118652,-11.689083099365234,0.0,4.809492111206055,12,205,0.29338244
0.0007,3000,599,0.9964501857757568,600,-12.728536605834961,19.944408416748047,0.0,1.7674493789672852,15,196,0.20543116
0.0007,3500,699,0.9977798461914062,700,-12.743217468261719,-1.8439996242523193,0.0,0.3291979730129242,17,200,-0.52354294
0.0007,4000,799,0.9957470297813416,800,-12.727200508117676,-9.043728828430176,-1.1920928955078125e-07,1.3205835819244385,19,202,1.2394801
0.0007,4500,899,0.9951308369636536,900,-12.72387409210205,28.485265731811523,0.0,11.305946350097656,21,205,4.8229685
0.0007,5000,999,0.9957230091094971,1000,-12.728130340576172,-53.186126708984375,0.0,64.62078094482422,25,199,5.782319
0.0007,5500,1099,0.9938511252403259,1100,-12.709863662719727,128.5846405029297,0.0,101.09385681152344,27,202,3.6081321
0.0007,6000,1199,0.9894990921020508,1200,-12.671941757202148,-29.434406280517578,0.0,6.833868503570557,29,205,-1.91944
0.0007,6500,1299,0.9889208674430847,1300,-12.663440704345703,-28.152435302734375,0.0,6.81741189956665,31,207,0.9904162
0.0007,7000,1399,0.98869788646698,1400,-12.661401748657227,46.96770477294922,0.0,13.324193000793457,33,210,0.9847506
0.0007,7500,1499,0.9864773154258728,1500,-12.645268440246582,36.58225631713867,0.0,15.84570598602295,35,211,-0.55918646
0.0007,8000,1599,0.9835560321807861,1600,-12.61172866821289,-5.914373874664307,0.0,10.548270225524902,38,207,1.7636935
0.0007,8500,1699,0.9828814268112183,1700,-12.609353065490723,191.45846557617188,0.0,367.430908203125,40,209,15.433291
0.0007,9000,1799,0.9818220138549805,1800,-12.598923683166504,-39.92432403564453,0.0,15.72625732421875,42,210,1.0260204
0.0007,9500,1899,0.9865633845329285,1900,-12.642704010009766,-48.16645050048828,0.0,15.507970809936523,44,212,0.46070048
0.0007,10000,1999,0.9855928421020508,2000,-12.635415077209473,-3.5586133003234863,0.0,0.6617683172225952,46,213,-0.10477379
0.0007,10500,2099,0.9875525236129761,2100,-12.649319648742676,-8.641000747680664,0.0,4.57534122467041,49,213,2.7545633
0.0007,11000,2199,0.987316370010376,2200,-12.650517463684082,42.697391510009766,0.0,20.04116439819336,52,211,-0.5144501
0.0007,11500,2299,0.9814170002937317,2300,-12.593705177307129,213.116943359375,-1.1920928955078125e-07,378.82391357421875,54,212,4.2531013
0.0007,12000,2399,0.9796149134635925,2400,-12.575483322143555,30.009418487548828,-7.152557373046875e-07,6.3248395919799805,55,214,0.10263147
0.0007,12500,2499,0.9825331568717957,2500,-12.603718757629395,-2.904322385787964,0.0,0.5508452653884888,57,215,0.75184214
0.0007,13000,2599,0.9820664525032043,2600,-12.59788703918457,12.67264175415039,0.0,3.3752224445343018,59,216,0.22146104
0.0007,13500,2699,0.9830958247184753,2700,-12.607667922973633,-13.012911796569824,0.0,2.081336259841919,62,216,-1.2393491
0.0007,14000,2799,0.9772329330444336,2800,-12.551786422729492,-47.805458068847656,0.0,14.9261474609375,65,214,2.5787477
0.0007,14500,2899,0.9796714782714844,2900,-12.569884300231934,85.09464263916016,0.0,53.313018798828125,67,215,0.17489287
0.0007,15000,2999,0.9795929789543152,3000,-12.572396278381348,6.5524091720581055,1.1920928955078125e-07,0.4823401868343353,69,216,-0.7723568
0.0007,15500,3099,0.982899010181427,3100,-12.604252815246582,-41.175254821777344,0.0025753378868103027,12.737539291381836,71,217,0.59493303
0.0007,16000,3199,0.9847185611724854,3200,-12.616406440734863,57.43462371826172,0.0,28.543609619140625,73,217,0.6869019
0.0007,16500,3299,0.9825488328933716,3300,-12.597379684448242,-16.033607482910156,-0.0007455348968505859,2.6057896614074707,76,217,-2.3664348
0.0007,17000,3399,0.9844686985015869,3400,-12.604435920715332,-71.9189453125,0.0006740689277648926,98.88628387451172,79,214,-2.9007304
0.0007,17500,3499,0.9819858074188232,3500,-12.589509963989258,82.50518035888672,0.0,57.3760871887207,81,215,1.6241019
0.0007,18000,3599,0.980339765548706,3600,-12.568748474121094,-1.1491880416870117,9.59634780883789e-06,0.1602517068386078,83,216,0.08873599
0.0007,18500,3699,0.9828599095344543,3700,-12.598615646362305,6.676815032958984,0.0,1.9182907342910767,85,217,-0.46650577
0.0007,19000,3799,0.9816782474517822,3800,-12.587746620178223,29.883747100830078,-0.15482687950134277,13.190378189086914,87,218,-1.250081
0.0007,19500,3899,0.9758506417274475,3900,-12.530896186828613,-13.532205581665039,0.0,2.890756845474243,89,217,1.041515
0.0007,20000,3999,0.9790457487106323,4000,-12.56275749206543,-68.70726013183594,0.0,32.729888916015625,92,216,-8.484783
0.0007,20500,4099,0.9812612533569336,4100,-12.583866119384766,-53.767677307128906,-1.1920928955078125e-07,17.528600692749023,94,217,3.8525245
0.0007,21000,4199,0.9774377346038818,4200,-12.549628257751465,-2.057121753692627,0.0,0.9764045476913452,96,217,-1.055275
0.0007,21500,4299,0.9798091053962708,4300,-12.575335502624512,38.958290100097656,1.1920928955078125e-07,13.92231273651123,98,218,-0.5109968
0.0007,22000,4399,0.9778264164924622,4400,-12.554598808288574,-0.03828110545873642,0.0,1.0487935543060303,100,219,-3.1847708
0.0007,22500,4499,0.9783491492271423,4500,-12.559991836547852,12.017176628112793,5.960464477539063e-08,2.014963388442993,103,217,3.5045187
0.0007,23000,4599,0.9762771129608154,4600,-12.536377906799316,58.54338836669922,0.0,32.04599380493164,106,216,0.55590874
0.0007,23500,4699,0.9789442420005798,4700,-12.563800811767578,-98.35142517089844,0.0,63.689598083496094,108,216,-3.7601871
0.0007,24000,4799,0.9809672236442566,4800,-12.581077575683594,-12.709293365478516,0.0,2.3615267276763916,110,217,-1.7189939
0.0007,24500,4899,0.9817142486572266,4900,-12.58796215057373,29.854522705078125,0.0,8.359764099121094,112,218,0.034295246
0.0007,25000,4999,0.9818861484527588,5000,-12.584382057189941,-71.56269836425781,0.0,37.02704620361328,114,218,1.3739327
0.0007,25500,5099,0.9860805869102478,5100,-12.623933792114258,56.05901336669922,0.0,22.391979217529297,117,217,0.36354944
0.0007,26000,5199,0.9828329086303711,5200,-12.593886375427246,-12.714415550231934,-1.1920928955078125e-07,2.3833742141723633,119,217,-1.5671239
0.0007,26500,5299,0.9827508926391602,5300,-12.590958595275879,68.91902160644531,0.0,67.03599548339844,121,217,-7.5202003
0.0007,27000,5399,0.9871544241905212,5400,-12.632206916809082,-38.30218505859375,0.0,8.982348442077637,123,218,-1.3279715
0.0007,27500,5499,0.989853024482727,5500,-12.656465530395508,45.296932220458984,0.0,16.473966598510742,125,219,-0.52724534
0.0007,28000,5599,0.9908591508865356,5600,-12.663862228393555,-0.06968383491039276,0.0,7.888920783996582,127,219,1.1560875
0.0007,28500,5699,0.9885343909263611,5700,-12.643657684326172,-14.217763900756836,0.0,5.034749984741211,130,218,-0.3354936
0.0007,29000,5799,0.9909228086471558,5800,-12.66527271270752,17.253684997558594,0.0,9.110995292663574,132,218,1.3009052
0.0007,29500,5899,0.9927127361297607,5900,-12.672369956970215,-11.284875869750977,0.0,7.027866363525391,134,218,5.274242
0.0007,30000,5999,0.9913356304168701,6000,-12.661383628845215,-51.46223068237305,0.0,19.59503936767578,136,219,1.3840984
0.0007,30500,6099,0.99358069896698,6100,-12.686600685119629,7.506838321685791,0.0,1.7629560232162476,138,219,0.58489096
0.0007,31000,6199,0.9937282204627991,6200,-12.683082580566406,-54.75321578979492,0.0,53.008758544921875,140,220,-2.864176
0.0007,31500,6299,0.9941001534461975,6300,-12.682708740234375,-5.577314376831055,-1.1920928955078125e-07,2.3496875762939453,143,219,1.4957911
0.0007,32000,6399,0.9934206008911133,6400,-12.681085586547852,122.35273742675781,1.1920928955078125e-07,121.55805969238281,145,219,6.666582
0.0007,32500,6499,0.9912850856781006,6500,-12.658913612365723,-228.7081298828125,0.0,403.1729431152344,147,219,4.85637
0.0007,33000,6599,0.9922447204589844,6600,-12.667177200317383,-39.46353530883789,0.0,11.910329818725586,149,220,-2.3928404
0.0007,33500,6699,0.9951947331428528,6700,-12.693079948425293,-6.657252311706543,0.0,0.41699010133743286,152,220,3.1057587
0.0007,34000,6799,0.9981392621994019,6800,-12.721338272094727,31.190216064453125,0.0,8.089460372924805,156,217,-3.7009113
0.0007,34500,6899,0.9992920756340027,6900,-12.72588062286377,-14.035482406616211,5.960464477539063e-08,2.8519527912139893,159,216,-2.3659148
0.0007,35000,6999,0.9978779554367065,7000,-12.71460247039795,-49.3221549987793,1.1920928955078125e-07,17.736072540283203,161,217,2.7063181
0.0007,35500,7099,1.0012154579162598,7100,-12.745479583740234,-16.154279708862305,-0.05379188060760498,2.2215209007263184,163,217,0.26148355
0.0007,36000,7199,1.007817268371582,7200,-12.805814743041992,4.425012111663818,0.0,0.18546411395072937,165,218,-1.1520123
0.0007,36500,7299,1.0044026374816895,7300,-12.773115158081055,-13.320419311523438,0.0,1.9899227619171143,167,218,-1.2214957
0.0007,37000,7399,1.0074440240859985,7400,-12.798860549926758,-88.93955993652344,0.0,58.44671630859375,169,218,2.943818
0.0007,37500,7499,1.0098395347595215,7500,-12.818845748901367,5.3020243644714355,-2.384185791015625e-07,0.7312628030776978,172,217,2.9604554
0.0007,38000,7599,1.0117942094802856,7600,-12.838228225708008,6.887673854827881,0.0,0.9109787940979004,174,218,5.658411
0.0007,38500,7699,1.0124566555023193,7700,-12.837788581848145,3.078793525695801,0.0,0.17148807644844055,176,218,-0.056489535
0.0007,39000,7799,1.0124709606170654,7800,-12.841764450073242,12.975748062133789,-1.1920928955078125e-07,1.5999075174331665,178,218,-0.36220843
0.0007,39500,7899,1.0134541988372803,7900,-12.851739883422852,-66.55912017822266,0.0,23.951467514038086,180,219,0.57732785
0.0007,40000,7999,1.0208884477615356,8000,-12.917757987976074,-43.94778060913086,0.0,10.6546049118042,182,218,-0.06949582
0.0007,40500,8099,1.0246636867523193,8100,-12.945913314819336,-82.57435607910156,-1.1920928955078125e-07,76.42440032958984,185,218,5.8081694
0.0007,41000,8199,1.019351601600647,8200,-12.901432991027832,-469.88507080078125,-5.9604644775390625e-06,1565.211669921875,187,218,-16.433924
0.0007,41500,8299,1.0179522037506104,8300,-12.887089729309082,-38.14772415161133,0.0,17.390125274658203,189,218,-1.5506165
0.0007,42000,8399,1.0159913301467896,8400,-12.873135566711426,-34.084869384765625,0.0,8.262044906616211,191,218,0.8070715
0.0007,42500,8499,1.0188443660736084,8500,-12.897636413574219,-19.515766143798828,0.0,3.4534308910369873,194,218,2.5474143
0.0007,43000,8599,1.0151704549789429,8600,-12.857015609741211,-3.41972017288208,-1.1920928955078125e-07,3.9282689094543457,198,216,2.3597538
0.0007,43500,8699,1.0158847570419312,8700,-12.866437911987305,-67.9991683959961,-0.00011944770812988281,32.38585662841797,200,216,1.9509655
0.0007,44000,8799,1.0190882682800293,8800,-12.89245319366455,215.79696655273438,-0.10821127891540527,351.39697265625,202,217,-2.4804964
0.0007,44500,8899,1.0197434425354004,8900,-12.898694038391113,34.27116012573242,0.0,7.668806552886963,204,217,2.5701103
0.0007,45000,8999,1.0202274322509766,9000,-12.902490615844727,3.077852964401245,-0.17275238037109375,1.1410404443740845,206,218,0.15266147
0.0007,45500,9099,1.0172538757324219,9100,-12.878547668457031,-5.243231773376465,5.960464477539063e-08,0.6116741299629211,208,218,0.0825553
0.0007,46000,9199,1.0200403928756714,9200,-12.900033950805664,67.37553405761719,0.0,26.62103843688965,211,217,0.90891844
0.0007,46500,9299,1.0202336311340332,9300,-12.907758712768555,4.3835625648498535,5.960464477539063e-08,1.5228266716003418,214,217,2.0079618
0.0007,47000,9399,1.0240944623947144,9400,-12.942176818847656,28.667247772216797,0.0,40.79560470581055,216,217,4.179815
0.0007,47500,9499,1.0237276554107666,9500,-12.936688423156738,18.2683048248291,0.0,2.5569541454315186,218,217,0.12947303
0.0007,48000,9599,1.0284500122070312,9600,-12.978296279907227,-12.12095832824707,-1.272082805633545,2.1076672077178955,220,217,-0.9641193
0.0007,48500,9699,1.030332326889038,9700,-12.993908882141113,-4.401726722717285,0.0,0.4866832196712494,222,218,-1.5898935
0.0007,49000,9799,1.0304522514343262,9800,-12.993101119995117,-102.10409545898438,0.0,49.20902633666992,225,217,-0.09503715
0.0007,49500,9899,1.0303263664245605,9900,-12.9874267578125,-25.305187225341797,0.0,4.177343845367432,227,217,0.7108852
0.0007,50000,9999,1.0277714729309082,10000,-12.963887214660645,17.101646423339844,-0.02321624755859375,4.7526960372924805,229,217,-5.510837
